region,pref,city,stationNo,lat,lon,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,source,period,note
中国,広島県,広島,47765,34.3983,132.4617,5.4,6.2,9.5,14.8,19.6,23.2,27.2,28.5,24.7,18.8,12.9,7.5,46.2,64,118.3,141,169.8,226.5,279.8,131.4,162.7,109.2,69.3,54,気象庁 平年値(1991-2020),1991-2020,
中国,山口県,山口,47784,34.1617,131.4617,4.4,5.5,9,13.9,19,22.6,26.4,27.4,23.5,17.7,11.9,6.4,76.3,85,145.6,168.1,197.2,282.9,342.6,205.8,179.1,91.3,83.5,70.5,気象庁 平年値(1991-2020),1991-2020,
四国,徳島県,徳島,47895,34.0667,134.5733,6.3,6.8,9.9,15,19.6,23,26.8,28.1,24.8,19.3,13.8,8.7,41.9,53,87.8,104.3,146.6,192.6,177,193,271.2,199.5,89.2,63.9,気象庁 平年値(1991-2020),1991-2020,
四国,香川県,高松,47891,34.3183,134.0533,5.9,6.3,9.4,14.7,19.8,23.3,27.5,28.6,24.7,19,13.2,8.1,39.4,45.8,81.4,74.6,100.9,153.1,159.8,106,167.4,120.1,55,46.7,気象庁 平年値(1991-2020),1991-2020,
四国,愛媛県,松山,47887,33.8433,132.7767,6.2,6.8,9.9,14.8,19.4,22.9,27.1,28.1,24.6,19.1,13.6,8.5,50.9,65.7,105.1,107.3,129.5,228.7,223.5,99,148.9,113,71.3,61.8,気象庁 平年値(1991-2020),1991-2020,
四国,高知県,高知,47893,33.5667,133.5483,6.7,7.8,11.2,15.8,20,23.1,27,27.9,25,19.9,14.2,8.8,59.1,107.8,174.8,225.3,280.4,359.5,357.3,284.1,398.1,207.5,129.6,83.1,気象庁 平年値(1991-2020),1991-2020,
九州・沖縄,福岡県,福岡,47807,33.5817,130.375,6.9,7.8,10.8,15.4,19.9,23.3,27.4,28.4,24.7,19.6,14.2,9.1,74.4,69.8,103.7,118.2,133.7,249.6,299.1,210,175.1,94.5,91.4,67.5,気象庁 平年値(1991-2020),1991-2020,
九州・沖縄,佐賀県,佐賀,47813,33.265,130.305,5.8,7,10.4,15.3,20,23.5,27.2,28.2,24.5,19.1,13.3,7.8,54.1,77.5,120.6,161.7,182.9,327,366.8,252.4,169.3,90.1,89.4,59.5,気象庁 平年値(1991-2020),1991-2020,
九州・沖縄,長崎県,長崎,47817,32.7333,129.8667,7.2,8.1,11.2,15.6,19.7,23,26.9,28.1,24.9,20,14.5,9.4,63.1,84,123.2,153,160.7,335.9,292.7,217.9,186.6,102.1,100.7,74.8,気象庁 平年値(1991-2020),1991-2020,
九州・沖縄,熊本県,熊本,47819,32.8133,130.7067,6,7.4,10.9,15.8,20.5,23.7,27.5,28.4,25.2,19.6,13.5,8,57.2,83.2,124.8,144.9,160.9,448.5,386.8,195.4,172.6,87.1,84.4,61.2,気象庁 平年値(1991-2020),1991-2020,
九州・沖縄,大分県,大分,47815,33.235,131.6183,6.5,7.2,10.2,14.8,19.3,22.6,26.8,27.7,24.2,19.1,13.8,8.7,49.8,64.1,99.2,119.7,133.6,313.6,261.3,165.7,255.2,144.8,72.9,47.1,気象庁 平年値(1991-2020),1991-2020,
九州・沖縄,宮崎県,宮崎,47830,31.9383,131.4133,7.8,8.9,12.1,16.4,20.3,23.2,27.3,27.6,24.7,20,14.7,9.7,72.7,95.8,155.7,194.5,227.6,516.3,339.3,275.5,370.9,196.7,105.7,74.9,気象庁 平年値(1991-2020),1991-2020,
九州・沖縄,鹿児島県,鹿児島,47827,31.555,130.5467,8.7,9.9,12.8,17.1,21,24,28.1,28.8,26.3,21.6,16.2,10.9,78.3,112.7,161,194.9,205.2,570,365.1,224.3,222.9,104.6,102.5,93.2,気象庁 平年値(1991-2020),1991-2020,
九州・沖縄,沖縄県,那覇,47936,26.2067,127.6867,17.3,17.5,19.1,21.5,24.2,27.2,29.1,29,27.9,25.5,22.5,19,101.6,114.5,142.8,161,245.3,284.4,188.1,240,275.2,179.2,119.1,110,気象庁 平年値(1991-2020),1991-2020,
